id,price,minimum_nights,maximum_nights,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
224,30.0,4,10000,strict_14_with_grace_period,0,0
225,57.0,2,1125,strict_14_with_grace_period,0,0
226,50.0,180,1125,strict_14_with_grace_period,0,1
227,20.0,2,1125,flexible,1,1
228,22.0,7,60,moderate,1,1
229,30.0,3,1125,strict_14_with_grace_period,0,0
230,78.0,1,1125,moderate,0,0
231,70.0,2,1825,moderate,0,0
232,60.0,366,1125,moderate,0,0
233,67.0,2,365,moderate,0,0
234,30.0,1,1125,strict_14_with_grace_period,0,0
235,85.0,30,1125,strict_14_with_grace_period,1,1
236,190.0,2,30,strict_14_with_grace_period,0,0
237,165.0,4,1125,strict_14_with_grace_period,0,0
238,30.0,7,365,moderate,0,0
239,105.0,1,1125,strict_14_with_grace_period,0,0
240,24.0,2,1125,moderate,0,1
241,85.0,3,65,flexible,0,0
242,30.0,30,365,strict_14_with_grace_period,0,0
243,37.0,2,365,strict_14_with_grace_period,0,0
244,75.0,1,1125,strict_14_with_grace_period,0,0
245,110.0,6,180,strict_14_with_grace_period,1,1
246,19.0,1,30,strict_14_with_grace_period,0,1
247,26.0,1,1000,flexible,0,0
248,19.0,3,15,strict_14_with_grace_period,1,1
249,25.0,7,1125,flexible,0,0
250,24.0,2,200,moderate,0,0
251,45.0,2,7,strict_14_with_grace_period,0,0
252,70.0,3,120,strict_14_with_grace_period,0,1
253,70.0,3,9,moderate,0,0
254,23.0,1,4,flexible,1,1
255,60.0,3,1125,strict_14_with_grace_period,1,1
256,75.0,3,120,strict_14_with_grace_period,0,1
257,60.0,2,4,moderate,0,0
258,50.0,120,1125,flexible,0,0
259,250.0,2,1125,strict_14_with_grace_period,0,0
260,75.0,3,1125,strict_14_with_grace_period,0,0
261,45.0,4,20,strict_14_with_grace_period,0,0
262,207.0,3,180,strict_14_with_grace_period,0,0
263,10.0,3,26,flexible,0,0
264,20.0,1,1125,strict_14_with_grace_period,0,1
265,20.0,4,30,strict_14_with_grace_period,0,1
266,25.0,7,1125,strict_14_with_grace_period,0,0
267,70.0,3,365,moderate,0,0
268,42.0,3,1125,flexible,0,1
269,125.0,2,365,strict_14_with_grace_period,1,1
270,40.0,2,8,moderate,0,0
271,30.0,1,1125,moderate,0,0
272,65.0,5,365,moderate,1,1
273,29.0,14,365,strict_14_with_grace_period,0,0
274,22.0,1,6,flexible,0,0
275,45.0,4,30,moderate,0,0
276,80.0,3,180,moderate,0,0
277,75.0,3,90,moderate,0,0
278,70.0,5,1125,strict_14_with_grace_period,0,0
279,149.0,1,1125,flexible,0,1
280,45.0,3,1125,strict_14_with_grace_period,0,0
281,80.0,2,1125,flexible,0,1
282,210.0,5,365,strict_14_with_grace_period,0,0
283,25.0,2,330,flexible,0,0
284,20.0,1,1125,flexible,0,0
285,108.0,2,50,strict_14_with_grace_period,0,0
286,155.0,2,1125,strict_14_with_grace_period,0,0
287,75.0,2,1125,strict_14_with_grace_period,0,0
288,40.0,1,1125,moderate,0,0
289,23.0,3,120,moderate,0,0
291,98.0,3,45,flexible,0,0
292,75.0,3,1125,moderate,0,0
293,85.0,3,45,flexible,0,0
294,76.0,2,1125,moderate,0,0
295,60.0,2,1125,strict_14_with_grace_period,0,0
296,35.0,1,6,moderate,0,0
297,70.0,3,90,strict_14_with_grace_period,1,1
298,145.0,3,1124,strict_14_with_grace_period,0,0
299,80.0,2,45,strict_14_with_grace_period,0,0
300,25.0,2,380,flexible,0,0
301,70.0,7,1125,flexible,0,0
302,50.0,270,1125,strict_14_with_grace_period,0,1
303,69.0,2,1125,moderate,0,0
304,29.0,1,90,moderate,0,1
305,23.0,1,1125,flexible,0,0
306,125.0,5,330,strict_14_with_grace_period,0,0
307,99.0,3,365,flexible,1,1
308,85.0,7,330,strict_14_with_grace_period,0,0
309,74.0,3,1120,strict_14_with_grace_period,0,0
310,100.0,3,365,strict_14_with_grace_period,0,0
311,59.0,2,25,strict_14_with_grace_period,0,0
312,50.0,7,365,strict_14_with_grace_period,1,1
313,75.0,3,30,strict_14_with_grace_period,0,0
314,60.0,1,1125,strict_14_with_grace_period,0,0
315,150.0,2,100,strict_14_with_grace_period,0,0
316,43.0,30,360,strict_14_with_grace_period,0,0
317,100.0,4,30,moderate,0,0
318,140.0,2,1125,strict_14_with_grace_period,0,0
319,140.0,2,1125,strict_14_with_grace_period,0,0
320,150.0,2,1125,strict_14_with_grace_period,0,0
321,130.0,3,100,moderate,0,0
322,50.0,60,365,strict_14_with_grace_period,0,0
323,33.0,3,45,moderate,0,0
324,50.0,30,1825,strict_14_with_grace_period,0,0
325,48.0,3,120,strict_14_with_grace_period,0,0
326,25.0,2,1125,strict_14_with_grace_period,0,0
327,35.0,2,4,moderate,0,0
328,250.0,3,1125,strict_14_with_grace_period,0,0
329,100.0,3,1107,strict_14_with_grace_period,0,0
330,85.0,1,180,flexible,0,0
331,23.0,5,365,strict_14_with_grace_period,0,0
332,75.0,5,90,moderate,0,0
333,205.0,5,30,strict_14_with_grace_period,0,0
334,59.0,3,1125,moderate,0,0
335,110.0,3,6,strict_14_with_grace_period,0,1
336,50.0,2,1125,strict_14_with_grace_period,0,0
337,45.0,200,365,moderate,0,0
338,135.0,3,30,strict_14_with_grace_period,0,0
339,30.0,10,1000,strict_14_with_grace_period,1,1
340,59.0,3,180,moderate,0,0
341,104.0,2,730,strict_14_with_grace_period,0,0
342,100.0,5,330,strict_14_with_grace_period,1,1
343,110.0,3,1125,flexible,0,0
344,27.0,5,1000,strict_14_with_grace_period,1,1
345,100.0,3,30,flexible,0,0
346,104.0,3,365,strict_14_with_grace_period,1,1
347,150.0,2,364,strict_14_with_grace_period,0,0
348,70.0,2,1125,moderate,0,0
349,59.0,3,1125,moderate,0,0
350,85.0,3,365,strict_14_with_grace_period,0,0
351,60.0,3,1125,strict_14_with_grace_period,0,0
352,58.0,1,1125,strict_14_with_grace_period,0,0
353,65.0,3,1125,moderate,0,0
354,34.0,3,90,strict_14_with_grace_period,0,0
355,40.0,90,365,strict_14_with_grace_period,0,0
356,80.0,2,45,strict_14_with_grace_period,0,0
357,35.0,1,90,strict_14_with_grace_period,0,1
358,75.0,2,1125,strict_14_with_grace_period,0,0
359,49.0,3,365,strict_14_with_grace_period,0,0
360,34.0,2,1125,flexible,0,0
361,50.0,10,17,flexible,0,0
362,95.0,5,15,strict_14_with_grace_period,0,0
363,145.0,3,1125,strict_14_with_grace_period,0,0
364,35.0,2,40,flexible,0,0
365,40.0,1,1125,strict_14_with_grace_period,0,0
366,24.0,1,1125,strict_14_with_grace_period,0,0
367,29.0,2,365,moderate,0,1
368,85.0,3,730,strict_14_with_grace_period,0,0
369,21.0,7,160,strict_14_with_grace_period,0,0
370,402.0,1,1125,strict_14_with_grace_period,0,0
371,220.0,2,365,strict_14_with_grace_period,0,0
372,65.0,5,1125,strict_14_with_grace_period,0,0
373,45.0,5,31,moderate,0,0
374,90.0,3,1125,flexible,0,0
375,28.0,60,61,strict_14_with_grace_period,0,0
376,25.0,4,1125,strict_14_with_grace_period,1,1
377,50.0,3,1120,strict_14_with_grace_period,0,0
379,18.0,360,1125,flexible,0,0
380,20.0,1,1125,moderate,0,0
381,110.0,4,60,moderate,0,1
382,50.0,2,366,strict_14_with_grace_period,1,1
383,65.0,3,30,moderate,0,0
384,95.0,2,1125,moderate,0,1
385,129.0,2,15,moderate,0,0
386,59.0,1,1125,moderate,0,0
387,75.0,3,1125,moderate,0,1
388,12.0,2,90,strict_14_with_grace_period,0,0
389,65.0,5,365,moderate,0,0
390,40.0,3,31,strict_14_with_grace_period,0,0
391,55.0,2,360,strict_14_with_grace_period,1,1
392,110.0,1,30,strict_14_with_grace_period,0,0
393,25.0,2,6,moderate,1,1
394,67.0,1,1125,strict_14_with_grace_period,0,0
395,125.0,1,1825,moderate,0,0
396,25.0,1,1125,moderate,0,0
397,20.0,1,1125,moderate,0,0
398,96.0,7,80,strict_14_with_grace_period,0,0
399,200.0,3,120,strict_14_with_grace_period,0,0
400,40.0,3,90,strict_14_with_grace_period,0,0
401,40.0,3,30,strict_14_with_grace_period,1,1
402,49.0,14,360,strict_14_with_grace_period,0,0
403,140.0,3,365,strict_14_with_grace_period,0,0
404,155.0,2,1000,strict_14_with_grace_period,0,0
405,30.0,1,30,flexible,0,1
406,65.0,4,365,flexible,0,0
407,65.0,3,62,moderate,0,0
408,60.0,3,62,moderate,0,0
409,95.0,4,1000,moderate,0,0
410,70.0,3,1125,strict_14_with_grace_period,0,0
411,48.0,1,3,flexible,0,0
412,140.0,3,180,strict_14_with_grace_period,0,0
413,60.0,1,1125,strict_14_with_grace_period,0,0
414,45.0,2,5,moderate,0,0
415,49.0,2,60,moderate,0,0
416,31.0,2,11,strict_14_with_grace_period,0,0
417,40.0,1,1125,strict_14_with_grace_period,0,0
418,60.0,4,1125,moderate,0,0
419,80.0,5,180,strict_14_with_grace_period,1,1
420,70.0,2,1125,moderate,0,0
421,80.0,15,1125,strict_14_with_grace_period,0,0
422,100.0,2,90,strict_14_with_grace_period,0,0
423,30.0,2,60,moderate,0,0
424,25.0,2,1100,moderate,0,0
425,85.0,3,1125,strict_14_with_grace_period,0,0
426,28.0,1,1125,flexible,0,0
427,32.0,1,1125,flexible,0,0
428,140.0,3,360,flexible,0,0
429,42.0,60,75,moderate,0,0
430,40.0,1,1125,flexible,0,0
431,105.0,4,100,moderate,0,0
432,38.0,1,1125,strict_14_with_grace_period,0,0
433,50.0,1,1125,flexible,0,0
434,19.0,2,30,strict_14_with_grace_period,0,1
435,19.0,1,1125,strict_14_with_grace_period,0,1
436,90.0,3,1125,strict_14_with_grace_period,0,0
437,63.0,15,330,strict_14_with_grace_period,0,0
438,80.0,2,21,flexible,0,0
439,60.0,1,1125,moderate,0,0
440,17.0,3,15,strict_14_with_grace_period,1,1
441,63.0,15,330,strict_14_with_grace_period,0,0
442,200.0,1,330,moderate,0,0
443,221.0,1,330,moderate,0,0
444,63.0,15,330,strict_14_with_grace_period,0,0
445,50.0,1,1125,moderate,0,0
446,55.0,2,330,moderate,0,0
447,19.0,2,99999,moderate,0,0
448,120.0,25,1125,moderate,1,1
449,140.0,3,1125,strict_14_with_grace_period,1,0
450,35.0,1,90,moderate,0,0
451,49.0,10,20,flexible,0,0
452,135.0,2,27,moderate,0,0
453,89.0,2,90,strict_14_with_grace_period,0,0
454,132.0,2,29,moderate,0,0
455,92.0,4,365,flexible,1,1
456,35.0,1,30,flexible,0,0
457,20.0,1,365,flexible,0,0
458,60.0,2,365,flexible,0,0
459,130.0,3,60,strict_14_with_grace_period,1,0
460,94.0,2,1125,strict_14_with_grace_period,0,0
461,80.0,13,350,moderate,0,0
462,120.0,3,180,strict_14_with_grace_period,0,0
463,45.0,2,14,moderate,0,0
464,59.0,1,1120,strict_14_with_grace_period,0,0
465,50.0,1,1125,strict_14_with_grace_period,0,0
466,120.0,2,20,strict_14_with_grace_period,0,0
467,150.0,3,1125,moderate,0,0
468,220.0,5,365,strict_14_with_grace_period,0,0
469,78.0,5,365,flexible,0,0
470,72.0,3,150,flexible,0,0
471,40.0,4,1125,strict_14_with_grace_period,0,0
472,48.0,3,365,strict_14_with_grace_period,1,1
473,99.0,1,1125,strict_14_with_grace_period,0,0
474,26.0,2,8,strict_14_with_grace_period,1,1
475,75.0,3,30,moderate,0,0
476,70.0,3,1125,strict_14_with_grace_period,0,0
477,59.0,2,60,moderate,1,1
478,79.0,2,1125,strict_14_with_grace_period,0,0
479,193.0,3,700,flexible,0,0
480,350.0,5,100,strict_14_with_grace_period,0,0
481,45.0,3,10,flexible,0,0
482,25.0,2,1125,strict_14_with_grace_period,0,0
483,35.0,1,4,flexible,0,0
484,185.0,3,30,moderate,0,0
485,60.0,30,240,strict_14_with_grace_period,0,0
486,205.0,3,30,moderate,0,0
487,30.0,4,80,strict_14_with_grace_period,0,0
488,60.0,1,100,flexible,0,0
489,65.0,3,1125,moderate,0,0
490,45.0,1,1125,moderate,0,0
491,90.0,2,1125,flexible,1,1
493,44.0,2,1125,strict_14_with_grace_period,0,0
494,20.0,7,1125,strict_14_with_grace_period,0,0
495,70.0,2,100,moderate,0,0
496,85.0,4,30,moderate,0,0
497,62.0,3,365,strict_14_with_grace_period,0,0
498,74.0,1,1124,strict_14_with_grace_period,0,0
499,30.0,2,1125,moderate,0,0
500,30.0,4,15,moderate,0,0
501,30.0,7,30,moderate,0,0
502,80.0,100,365,flexible,0,0
503,65.0,2,40,strict_14_with_grace_period,0,0
504,42.0,7,365,strict_14_with_grace_period,0,0
505,94.0,2,1125,strict_14_with_grace_period,0,0
507,46.0,2,180,flexible,0,0
508,30.0,3,365,moderate,0,0
509,30.0,3,185,strict_14_with_grace_period,1,1
510,70.0,3,60,strict_14_with_grace_period,0,0
511,80.0,2,1125,strict_14_with_grace_period,0,0
512,24.0,1,60,moderate,0,0
513,30.0,2,1125,flexible,0,0
514,70.0,2,1125,moderate,0,0
515,101.0,3,120,moderate,0,0
516,34.0,2,50,moderate,0,0
517,22.0,2,1125,flexible,0,0
518,75.0,1,1124,strict_14_with_grace_period,0,0
519,65.0,1,1124,strict_14_with_grace_period,0,0
520,45.0,2,1125,moderate,0,1
521,90.0,2,27,strict_14_with_grace_period,0,0
522,75.0,2,90,moderate,1,1
524,148.0,1,1125,moderate,0,0
525,95.0,2,1125,flexible,0,0
526,30.0,3,185,strict_14_with_grace_period,1,1
527,76.0,4,1124,moderate,0,0
528,69.0,3,330,moderate,0,0
529,130.0,3,180,strict_14_with_grace_period,1,1
530,99.0,3,180,strict_14_with_grace_period,1,1
531,230.0,3,180,strict_14_with_grace_period,1,1
532,30.0,3,185,strict_14_with_grace_period,1,1
533,30.0,2,1125,moderate,0,0
534,74.0,2,1125,strict_14_with_grace_period,0,0
535,75.0,1,1125,strict_14_with_grace_period,0,0
536,60.0,3,365,flexible,0,0
537,65.0,2,100000,strict_14_with_grace_period,0,0
538,25.0,3,1125,flexible,0,0
539,45.0,2,1125,flexible,0,0
540,68.0,1,30,strict_14_with_grace_period,0,1
541,24.0,5,1125,strict_14_with_grace_period,0,0
542,75.0,365,365,flexible,0,0
543,70.0,3,15,moderate,0,1
544,33.0,3,1125,strict_14_with_grace_period,0,0
545,35.0,4,1125,strict_14_with_grace_period,0,0
547,40.0,25,30,strict_14_with_grace_period,1,1
548,15.0,150,1125,strict_14_with_grace_period,0,0
549,26.0,25,1125,strict_14_with_grace_period,0,0
550,510.0,2,7,moderate,0,0
551,99.0,2,365,moderate,0,0
552,85.0,5,1125,strict_14_with_grace_period,0,0
553,50.0,3,30,moderate,0,0
554,80.0,3,10,moderate,0,0
555,105.0,1,1125,strict_14_with_grace_period,0,0
556,44.0,60,365,strict_14_with_grace_period,1,1
557,60.0,3,1125,strict_14_with_grace_period,0,0
558,150.0,3,1125,moderate,0,0
559,62.0,3,1125,moderate,0,0
560,30.0,28,365,strict_14_with_grace_period,0,0
561,32.0,1,1125,strict_14_with_grace_period,0,0
562,53.0,2,90,strict_14_with_grace_period,0,0
563,72.0,5,60,strict_14_with_grace_period,0,0
564,29.0,3,1125,moderate,0,0
565,72.0,3,500,strict_14_with_grace_period,0,0
566,57.0,3,60,strict_14_with_grace_period,0,0
567,78.0,1,1125,flexible,0,0
568,40.0,6,1125,strict_14_with_grace_period,0,0
569,45.0,90,365,strict_14_with_grace_period,0,0
570,91.0,4,17,moderate,1,1
571,170.0,3,90,flexible,0,0
572,21.0,2,92,flexible,0,0
573,70.0,3,60,strict_14_with_grace_period,0,0
574,94.0,2,1200,strict_14_with_grace_period,0,0
575,35.0,2,30,flexible,0,0
576,84.0,3,31,moderate,0,0
577,16.0,2,7,moderate,0,0
578,90.0,2,1125,moderate,0,0
579,75.0,2,1125,strict_14_with_grace_period,1,1
580,45.0,30,1125,strict_14_with_grace_period,0,0
581,200.0,2,1125,strict_14_with_grace_period,0,0
582,77.0,3,1125,flexible,0,0
583,60.0,1,1124,strict_14_with_grace_period,0,0
584,72.0,3,365,moderate,0,0
585,150.0,3,10,strict_14_with_grace_period,0,0
586,50.0,3,1125,flexible,0,0
587,90.0,5,120,strict_14_with_grace_period,1,1
588,1000.0,2,1125,moderate,0,0
589,75.0,2,1125,strict_14_with_grace_period,1,1
590,32.0,3,15,moderate,0,0
592,65.0,5,1125,moderate,0,1
593,77.0,5,300,moderate,0,0
594,85.0,15,1125,flexible,0,0
595,35.0,2,1125,moderate,0,0
596,60.0,7,1125,moderate,0,0
597,36.0,2,31,strict_14_with_grace_period,0,0
598,38.0,2,30,strict_14_with_grace_period,0,0
599,79.0,2,1125,moderate,0,0
600,140.0,1,1125,strict_14_with_grace_period,0,0
601,75.0,2,1125,strict_14_with_grace_period,1,1
602,75.0,2,25,moderate,0,0
603,100.0,17,1112,strict_14_with_grace_period,0,0
604,85.0,2,28,moderate,0,0
605,80.0,3,25,strict_14_with_grace_period,0,0
606,28.0,3,60,moderate,0,0
607,65.0,180,365,strict_14_with_grace_period,0,0
608,53.0,2,120,moderate,0,0
609,48.0,2,30,moderate,0,0
