id,neighbourhood,neighbourhood_group,latitude,longitude,dist_km_sol,dist_km_airport
195,San Blas,San Blas - Canillejas,40.42181,-3.6123,9.859382000000004,8.086569
196,Centro,Centro,40.41327,-3.71071,1.2751,14.772186000000016
197,Centro,Centro,40.41513,-3.6997,1.6365440000000002,13.693038000000016
198,San Blas,San Blas - Canillejas,40.42855,-3.61474,10.006266000000002,7.748221
199,Embajadores,Centro,40.41117,-3.70399,1.5711389999999998,14.839172000000016
200,Embajadores,Centro,40.41289,-3.70065,1.5183940000000002,14.254717000000015
201,Chamartín,Chamartín,40.45783,-3.68791,6.716580000000004,11.997334000000002
202,Centro,Centro,40.41591,-3.70276,2.156118,13.919374000000015
203,La Latina,Centro,40.41041,-3.71092,1.5366,14.972369000000016
204,Embajadores,Centro,40.41273,-3.70154,1.5078260000000003,14.244149000000016
205,Pacifico,Retiro,40.40495,-3.6749,4.215513,13.305826000000016
206,Centro,Centro,40.41702,-3.70744,1.13735,14.574049000000011
207,Malasaña,Centro,40.42216,-3.70123,2.023052,13.914810000000015
208,Centro,Centro,40.42323,-3.7065,1.94772,14.120503000000015
209,Cortes,Centro,40.41337,-3.70013,1.5183940000000002,14.254717000000015
210,Chamberí,Chamberí,40.43301,-3.70383,2.9191529999999988,13.541769000000007
212,Arganzuela,Arganzuela,40.40119,-3.69141,3.405325,14.931346000000016
213,Embajadores,Centro,40.41019,-3.70201,1.869347,14.659019000000017
215,Chamartín,Chamartín,40.45762,-3.67669,6.823881000000002,10.707738000000004
216,Chamberí,Chamberí,40.43568,-3.70753,3.2826339999999994,13.89415700000001
217,Chamberí,Chamberí,40.43533,-3.7128,3.1992799999999995,14.304921000000007
218,Argüelles,Moncloa - Aravaca,40.42599,-3.71691,2.4419689999999994,14.904640000000017
219,Retiro,Retiro,40.41813,-3.67742,4.396249,11.96160200000001
220,La Latina,Centro,40.40818,-3.70351,2.14183,14.93543100000002
221,Centro,Centro,40.41411,-3.6981,2.13723,13.702737000000017
222,Goya,Salamanca,40.42331,-3.66955,4.833921000000001,10.949888000000009
223,Recoletos,Salamanca,40.42314,-3.68952,3.1045010000000004,12.656199000000012
224,Arganzuela,Arganzuela,40.39425,-3.69645,3.668115,15.764739000000011
225,Embajadores,Centro,40.40762,-3.6994,2.700914,14.676364000000016
226,Embajadores,Centro,40.40748,-3.69762,2.487027,14.856238000000015
227,Aluche,Latina,40.40986,-3.72869,3.018992,16.78409
228,Rios Rosas,Chamberí,40.4455,-3.70382,4.124855999999999,13.75002700000001
229,Centro,Centro,40.42763,-3.70498,2.2437589999999994,13.757446000000014
230,Barajas,Barajas,40.4739,-3.57699,14.754866999999996,2.367531000000001
231,Malasaña,Centro,40.42535,-3.70751,1.845727,14.142786000000015
232,Chamberí,Chamberí,40.43186,-3.70346,2.816054999999999,13.670951000000008
233,Cortes,Centro,40.41361,-3.69715,2.003325,13.832945000000018
234,Embajadores,Centro,40.4094,-3.70203,2.046837,14.830581000000016
235,Argüelles,Moncloa - Aravaca,40.4246,-3.72876,3.5848760000000004,16.539899000000005
236,Centro,Centro,40.41169,-3.70166,1.810465,14.469394000000015
237,Centro,Centro,40.41601,-3.71011,1.09861,15.101137000000016
238,Usera,Usera,40.36701,-3.68667,7.343573999999999,17.97785499999999
239,Centro,Centro,40.41871,-3.70607,1.054372,14.491071000000014
240,Carabanchel,Carabanchel,40.39729,-3.71447,3.525329,16.961097999999996
241,Arganzuela,Arganzuela,40.40588,-3.69631,2.799064,14.737401000000016
242,Centro,Centro,40.41432,-3.70656,1.2286510000000002,14.726568000000018
243,Centro,Centro,40.42469,-3.7088,2.143811,14.457842000000015
244,Justicia,Centro,40.4201,-3.70105,1.891674,13.458310000000017
245,Castellana,Salamanca,40.4314,-3.68543,4.051085999999999,12.064177000000011
246,Salamanca,Salamanca,40.43547,-3.66974,5.624120000000001,10.782772000000008
247,Tetuán,Tetuán,40.45721,-3.70383,5.841043000000003,13.272429000000006
248,Aluche,Latina,40.40883,-3.74118,3.870500999999999,17.63559899999999
249,Palos do Moguer,Arganzuela,40.40402,-3.69002,3.0821049999999994,14.608126000000016
250,Moncloa,Moncloa - Aravaca,40.45121,-3.78515,9.679442000000002,21.745245999999984
251,Puente de Vallecas,Puente de Vallecas,40.39224,-3.66378,5.635476999999999,13.837711000000018
252,Palacio,Centro,40.41706,-3.70948,0.9879199999999998,14.990447000000014
253,Sol,Centro,40.41794,-3.70126,2.30562,13.575994000000016
254,Prosperidad,Chamartín,40.44098,-3.67715,5.5447120000000005,11.059298000000004
255,Villa de Vallecas,Villa de Vallecas,40.38263,-3.61486,10.046993,13.288729000000004
256,Palacio,Centro,40.41715,-3.71054,0.993515,14.996042000000015
257,Arganzuela,Arganzuela,40.40415,-3.70411,2.265823,15.297639000000014
258,Chamberí,Chamberí,40.43322,-3.70364,2.9191529999999988,13.541769000000007
259,Centro,Centro,40.41653,-3.70308,2.156118,13.919374000000015
260,Chamartín,Chamartín,40.47267,-3.67553,8.647869000000004,11.139431000000004
261,Malasaña,Centro,40.4232,-3.70441,1.973728,14.146511000000013
262,Chamberí,Chamberí,40.44153,-3.69457,4.372271,12.68876100000001
263,Embajadores,Centro,40.41383,-3.70515,1.253611,14.416394000000016
264,Guindalera,Salamanca,40.43545,-3.67156,6.028976000000003,11.118738000000004
265,Guindalera,Salamanca,40.43404,-3.67119,5.463439000000001,10.874348000000008
266,Ciudad Lineal,Ciudad Lineal,40.4246,-3.63936,7.667785000000003,8.931999000000003
267,Centro,Centro,40.42084,-3.71247,1.643965,14.474546000000013
268,Legazpi,Arganzuela,40.38994,-3.69309,4.424338,15.925917000000007
269,La Latina,Centro,40.41291,-3.70686,1.200616,14.376883000000015
270,Gaztambide,Chamberí,40.43308,-3.71233,3.128835,14.41840600000001
271,Ciudad Lineal,Ciudad Lineal,40.42474,-3.64048,7.478890000000002,8.959612000000003
272,Embajadores,Centro,40.40863,-3.7042,1.657836,15.093605000000014
273,Pacifico,Retiro,40.40416,-3.68172,3.333954,13.616619000000018
274,Villa de Vallecas,Villa de Vallecas,40.37254,-3.62278,10.885489999999995,14.127226000000002
275,Trafalgar,Chamberí,40.43143,-3.70215,2.821206999999999,13.501290000000015
276,Centro,Centro,40.415,-3.69808,1.776631,13.712639000000015
277,Pacifico,Retiro,40.40392,-3.68147,3.433203,13.562094000000016
278,Centro,Centro,40.40567,-3.7031,2.023262,15.202789000000015
279,Trafalgar,Chamberí,40.43302,-3.70336,2.880912,13.606094000000008
280,Centro,Centro,40.42242,-3.7059,1.822198,13.99498100000002
281,Argüelles,Moncloa - Aravaca,40.4292,-3.71778,2.708835,14.917829000000015
282,Lista,Salamanca,40.43302,-3.67725,4.897947,11.342802000000011
283,Puente de Vallecas,Puente de Vallecas,40.3973,-3.66253,5.319026,13.17636100000002
284,Carabanchel,Carabanchel,40.37754,-3.74276,7.045833,20.41951699999999
285,Palacio,Centro,40.41853,-3.70927,1.3781370000000004,14.307844000000015
286,Hortaleza,Hortaleza,40.46776,-3.65147,9.744029999999997,8.326699999999999
287,Centro,Centro,40.41703,-3.70656,1.1986280000000002,14.635327000000016
288,Ciudad Lineal,Ciudad Lineal,40.47546,-3.67267,10.095057,10.423123000000004
289,Delicias,Arganzuela,40.40045,-3.69696,3.0804089999999995,15.455456000000012
291,Villaverde,Villaverde,40.36121,-3.69627,8.076326000000003,18.883288
292,La Latina,Centro,40.41263,-3.70942,1.550909,14.986678000000014
293,Villaverde,Villaverde,40.3556,-3.69829,8.983231000000002,19.72876899999999
294,Malasaña,Centro,40.42557,-3.7055,2.024019,13.978966000000016
295,Lista,Salamanca,40.43053,-3.67277,5.071434000000001,10.964838000000007
296,Tetuán,Tetuán,40.4565,-3.70814,5.706124000000003,13.795123000000007
297,Retiro,Retiro,40.39939,-3.67013,4.575707999999999,13.585842000000016
298,Centro,Centro,40.42126,-3.70295,1.838564,13.730322000000015
299,Embajadores,Centro,40.41331,-3.7051,1.471222,14.251897000000016
300,Puente de Vallecas,Puente de Vallecas,40.39707,-3.66243,5.319026,13.17636100000002
301,Centro,Centro,40.4292,-3.70674,2.3167529999999994,13.752501000000017
302,Chamartín,Chamartín,40.44371,-3.68319,5.569135,11.977529000000006
303,Sol,Centro,40.41674,-3.70743,0.446113,14.448640000000012
304,Barajas,Barajas,40.45347,-3.59199,12.334437999999992,3.381371
305,Chamberí,Chamberí,40.43553,-3.71006,3.254455,14.05792600000001
306,Moratalaz,Moratalaz,40.41168,-3.65315,6.143439000000002,11.119445000000008
307,Centro,Centro,40.41521,-3.70333,1.2397420000000003,13.914381000000017
308,Ciudad Lineal,Ciudad Lineal,40.43716,-3.65187,6.666520000000001,9.069223000000004
309,Centro,Centro,40.42497,-3.70271,2.2409859999999995,13.885186000000015
310,Palacio,Centro,40.41173,-3.71225,1.6505359999999998,15.086305000000015
311,Embajadores,Centro,40.40912,-3.70064,2.624897,14.600347000000015
312,Fuencarral-el Pardo,Fuencarral - El Pardo,40.50171,-3.6903,11.665105999999998,14.791523000000003
313,Centro,Centro,40.42556,-3.70067,2.3445759999999995,13.611281000000014
314,Embajadores,Centro,40.4115,-3.7037,1.7819419999999997,14.80873800000002
315,Ciudad Lineal,Ciudad Lineal,40.44934,-3.65271,7.876842000000004,9.579450000000008
316,Puente de Vallecas,Puente de Vallecas,40.39216,-3.67177,5.197604000000001,14.197091000000016
317,Embajadores,Centro,40.41184,-3.69956,1.974728,14.387424000000014
318,Sol,Centro,40.41611,-3.70746,0.5257430000000001,14.528270000000015
319,Centro,Centro,40.41943,-3.7122,1.590839,14.421420000000015
320,Centro,Centro,40.41853,-3.7079,0.871265,14.307964000000014
321,Malasaña,Centro,40.42809,-3.70483,2.4835259999999995,13.715960000000011
322,Chamberí,Chamberí,40.44024,-3.70138,4.226163,13.84694500000001
323,Chamberí,Chamberí,40.43658,-3.70355,3.158248999999999,13.575499000000011
324,Ibiza,Retiro,40.41762,-3.67426,4.6743190000000014,11.96814900000001
325,Embajadores,Centro,40.40852,-3.70354,1.944516,14.970615000000016
326,Centro,Centro,40.41139,-3.70067,1.978807,14.391503000000014
327,Acacias,Arganzuela,40.40391,-3.70545,2.39958,15.431396000000012
328,Centro,Centro,40.41805,-3.70765,0.927164,14.363863000000016
329,Centro,Centro,40.41532,-3.69523,2.070496,13.288130000000017
330,Malasaña,Centro,40.4218,-3.70627,1.658641,14.356704000000017
331,Arganzuela,Arganzuela,40.40393,-3.70332,2.311739,15.333552000000012
332,Centro,Centro,40.42076,-3.70418,1.6470530000000003,13.846969000000016
333,Malasaña,Centro,40.4262,-3.71224,2.266649,14.626269000000017
334,Sol,Centro,40.41448,-3.70681,1.1104379999999998,14.608355000000014
335,La Latina,Centro,40.40756,-3.70892,1.958777,15.394546000000012
336,Centro,Centro,40.4101,-3.70455,1.622801,15.058570000000014
337,Aluche,Latina,40.40784,-3.73031,3.3421209999999992,17.107218999999994
338,Centro,Centro,40.41233,-3.69649,1.991042,13.818513000000015
339,San Blas,San Blas - Canillejas,40.42789,-3.61486,10.006266000000002,7.748221
340,Centro,Centro,40.4144,-3.70686,1.1104379999999998,14.608355000000014
341,Centro,Centro,40.41312,-3.7052,1.471222,14.251897000000016
342,Centro,Centro,40.42751,-3.70345,2.372083999999999,13.644760000000012
343,Palacio,Centro,40.41607,-3.70902,0.609897,14.612424000000017
344,San Blas,San Blas - Canillejas,40.42702,-3.61604,10.045313,8.300738
345,Salamanca,Salamanca,40.4246,-3.67928,4.104905999999999,11.597126000000008
346,Justicia,Centro,40.4225,-3.70031,2.634235,13.487527000000016
347,Castillejos,Tetuán,40.45877,-3.69482,6.332293000000003,12.210102000000004
348,Palacio,Centro,40.40888,-3.71372,2.188169,15.623938000000011
349,Centro,Centro,40.415,-3.70754,0.815169,14.771158000000018
350,Centro,Centro,40.41487,-3.70614,1.1877480000000002,14.685665000000016
351,Centro,Centro,40.40848,-3.71559,1.838765,15.461295000000012
352,Embajadores,Centro,40.41214,-3.69996,1.895477,14.308173000000014
353,La Latina,Centro,40.41167,-3.70824,1.25753,14.693299000000016
354,Hortaleza,Hortaleza,40.46239,-3.62981,10.769158999999997,6.610744999999998
355,Cortes,Centro,40.41185,-3.69366,2.285857,14.126313000000016
356,Centro,Centro,40.41365,-3.70505,1.253611,14.416394000000016
357,Centro,Centro,40.42689,-3.6997,2.568503,13.418932000000016
358,Centro,Centro,40.41216,-3.69985,1.850394,14.201432000000016
359,Centro,Centro,40.41051,-3.7024,1.83484,14.624512000000015
360,Ciudad Lineal,Ciudad Lineal,40.48015,-3.66824,10.136004,9.493516000000009
361,Centro,Centro,40.42464,-3.70515,1.924899,14.357238000000011
362,Centro,Centro,40.40885,-3.69926,2.521825,14.497275000000016
363,Arganzuela,Arganzuela,40.40319,-3.69654,2.703673,15.226466000000014
364,Centro,Centro,40.40674,-3.71048,2.200234,15.636003000000011
365,Centro,Centro,40.42342,-3.70576,1.89021,14.322549000000013
366,Ciudad Lineal,Ciudad Lineal,40.47792,-3.66683,10.491582,9.770158000000007
367,Centro,Centro,40.42426,-3.70278,2.184948,13.914270000000014
368,Jerónimos,Retiro,40.41301,-3.68913,3.026677,13.112154000000016
369,Moncloa,Moncloa - Aravaca,40.42966,-3.72132,3.072786,15.313487000000013
370,Cortes,Centro,40.41812,-3.69927,1.995362,13.504107000000015
371,Palacio,Centro,40.41103,-3.71201,1.579494,15.015263000000012
372,Centro,Centro,40.42134,-3.71149,1.581743,14.412324000000016
373,San Blas,San Blas - Canillejas,40.43638,-3.63344,8.476193,7.604270999999997
374,Centro,Centro,40.41499,-3.7078,0.815169,14.771158000000018
375,Barajas,Barajas,40.47219,-3.58758,14.420061999999996,2.682611000000001
